method,item,compareItem,score,compareResult
TM_CCOEFF_NORMED,tree40,tree,52.57551574707031,pass
TM_CCOEFF_NORMED,tree41,tree,52.57551574707031,pass
TM_CCOEFF_NORMED,tree42,tree,54.22777557373047,pass
TM_CCOEFF_NORMED,tree43,tree,42.99777603149414,pass
TM_CCOEFF_NORMED,tree44,tree,30.620939254760742,pass
TM_CCOEFF_NORMED,hut2,hut,34.36583709716797,pass
TM_CCOEFF_NORMED,hut3,hut,53.87709045410156,pass
TM_CCOEFF_NORMED,hut4,hut,57.8493537902832,pass
TM_CCOEFF_NORMED,hut5,hut,56.157081604003906,pass
TM_CCOEFF_NORMED,hut6,hut,56.46028518676758,pass
TM_CCOEFF_NORMED,hut7,hut,56.826961517333984,pass
TM_CCOEFF_NORMED,hut8,hut,55.859764099121094,pass
TM_CCOEFF_NORMED,hut9,hut,34.349430084228516,pass
TM_CCOEFF_NORMED,hut10,hut,53.2148551940918,pass
TM_CCOEFF_NORMED,hut11,hut,57.75038528442383,pass
TM_CCOEFF_NORMED,hut12,hut,57.821144104003906,pass
TM_CCOEFF_NORMED,hut13,hut,57.84693908691406,pass
TM_CCOEFF_NORMED,hut14,hut,57.2880973815918,pass
TM_CCOEFF_NORMED,hut15,hut,57.400672912597656,pass
TM_CCOEFF_NORMED,hut16,hut,58.66639709472656,pass
TM_CCOEFF_NORMED,hut17,hut,56.46028518676758,pass
TM_CCOEFF_NORMED,hut18,hut,56.81949996948242,pass
TM_CCOEFF_NORMED,hut19,hut,56.13090896606445,pass
TM_CCOEFF_NORMED,hut20,hut,34.349430084228516,pass
TM_CCOEFF_NORMED,hut21,hut,55.374664306640625,pass
TM_CCOEFF_NORMED,hut22,hut,35.26198196411133,pass
TM_CCOEFF_NORMED,hut23,hut,49.644832611083984,pass
TM_CCOEFF_NORMED,hut24,hut,56.12641143798828,pass
TM_CCOEFF_NORMED,house2,house,68.54784393310547,pass
TM_CCOEFF_NORMED,house3,house,64.88070678710938,pass
TM_CCOEFF_NORMED,house4,house,67.66366577148438,pass
TM_CCOEFF_NORMED,house5,house,65.35271453857422,pass
TM_CCOEFF_NORMED,house6,house,68.54784393310547,pass
TM_CCOEFF_NORMED,house7,house,64.88070678710938,pass
TM_CCOEFF_NORMED,house8,house,68.986083984375,pass
TM_CCOEFF_NORMED,house9,house,68.9871826171875,pass
TM_CCOEFF_NORMED,house10,house,67.48824310302734,pass
TM_CCOEFF_NORMED,house11,house,67.26597595214844,pass
TM_CCOEFF_NORMED,house12,house,68.9871826171875,pass
TM_CCOEFF_NORMED,house13,house,65.35271453857422,pass
TM_CCOEFF_NORMED,ninjaBear2,ninjaBear,54.00107955932617,pass
TM_CCOEFF_NORMED,ninjaBear3,ninjaBear,68.92045593261719,pass
TM_CCOEFF_NORMED,ninjaBear4,ninjaBear,54.53044128417969,pass
TM_CCOEFF_NORMED,ninjaBear5,ninjaBear,67.28242492675781,pass
TM_CCOEFF_NORMED,ninjaBear6,ninjaBear,70.95308685302734,pass
TM_CCOEFF_NORMED,ninjaBear7,ninjaBear,66.175048828125,pass
TM_CCOEFF_NORMED,ninjaBear8,ninjaBear,66.99335479736328,pass
TM_CCOEFF_NORMED,ninjaBear9,ninjaBear,67.77754974365234,pass
TM_CCOEFF_NORMED,ninjaBear10,ninjaBear,66.175048828125,pass
TM_CCOEFF_NORMED,ninjaBear11,ninjaBear,69.8914566040039,pass
TM_CCOEFF_NORMED,ninjaBear12,ninjaBear,62.91765594482422,pass
TM_CCOEFF_NORMED,ninjaBear13,ninjaBear,54.00107955932617,pass
TM_CCOEFF_NORMED,ninjaBear14,ninjaBear,68.92045593261719,pass
TM_CCOEFF_NORMED,ninjaBear15,ninjaBear,67.46064758300781,pass
TM_CCOEFF_NORMED,ninjaBear16,ninjaBear,67.28242492675781,pass
TM_CCOEFF_NORMED,ninjaBear17,ninjaBear,70.95308685302734,pass
TM_CCOEFF_NORMED,ninjaBear18,ninjaBear,67.61410522460938,pass
TM_CCOEFF_NORMED,ninjaBear19,ninjaBear,66.99335479736328,pass
TM_CCOEFF_NORMED,ninjaBear20,ninjaBear,66.99335479736328,pass
TM_CCOEFF_NORMED,bear2,bear,63.053916931152344,pass
TM_CCOEFF_NORMED,bear3,bear,63.078163146972656,pass
TM_CCOEFF_NORMED,bear4,bear,62.48622512817383,pass
TM_CCOEFF_NORMED,bear5,bear,61.96931457519531,pass
TM_CCOEFF_NORMED,bear6,bear,61.410499572753906,pass
TM_CCOEFF_NORMED,bear7,bear,61.463069915771484,pass
TM_CCOEFF_NORMED,bear8,bear,60.757816314697266,pass
TM_CCOEFF_NORMED,bear9,bear,61.94137954711914,pass
TM_CCOEFF_NORMED,bear10,bear,61.96931457519531,pass
TM_CCOEFF_NORMED,bear11,bear,63.95309066772461,pass
TM_CCOEFF_NORMED,bear12,bear,62.48622512817383,pass
TM_CCOEFF_NORMED,church2,church,68.49166870117188,pass
TM_CCOEFF_NORMED,church3,church,61.13105392456055,pass
TM_CCOEFF_NORMED,church4,church,67.99117279052734,pass
TM_CCOEFF_NORMED,church5,church,61.13105392456055,pass
TM_CCOEFF_NORMED,church6,church,67.99117279052734,pass
TM_CCOEFF_NORMED,church7,church,68.27867889404297,pass
TM_CCOEFF_NORMED,church8,church,68.07203674316406,pass
TM_CCOEFF_NORMED,church9,church,65.90877532958984,pass
TM_CCOEFF_NORMED,church10,church,62.940006256103516,pass
TM_CCOEFF_NORMED,church11,church,68.02104949951172,pass
TM_CCOEFF_NORMED,church12,church,68.42072296142578,pass
TM_CCOEFF_NORMED,church13,church,68.49166870117188,pass
TM_CCOEFF_NORMED,cathedral2,cathedral,63.560115814208984,pass
TM_CCOEFF_NORMED,cathedral3,cathedral,65.36283874511719,pass
TM_CCOEFF_NORMED,cathedral4,cathedral,63.51131057739258,pass
TM_CCOEFF_NORMED,cathedral5,cathedral,63.16769790649414,pass
TM_CCOEFF_NORMED,cathedral6,cathedral,63.46876525878906,pass
TM_CCOEFF_NORMED,cathedral7,cathedral,63.48462677001953,pass
TM_CCOEFF_NORMED,cathedral8,cathedral,64.08625793457031,pass
TM_CCOEFF_NORMED,cathedral9,cathedral,64.08977508544922,pass
TM_CCOEFF_NORMED,rock2,grass,76.2067642211914,false
TM_CCOEFF_NORMED,rock3,grass,76.4027328491211,false
TM_CCOEFF_NORMED,rock4,grass,45.3623161315918,false
