method,item1,item2,score
TM_CCOEFF_NORMED,empty,ninjaBear,51.80091857910156
TM_CCOEFF_NORMED,empty,ninjaBear,65.78180694580078
TM_CCOEFF_NORMED,empty,ninjaBear,61.86272048950195
TM_CCOEFF_NORMED,empty,ninjaBear,56.480072021484375
TM_CCOEFF_NORMED,empty,ninjaBear,64.61527252197266
TM_CCOEFF_NORMED,empty,ninjaBear,58.50263977050781
TM_CCOEFF_NORMED,empty,ninjaBear,56.480072021484375
TM_CCOEFF_NORMED,empty,ninjaBear,59.30782699584961
TM_CCOEFF_NORMED,empty,ninjaBear,60.15220260620117
TM_CCOEFF_NORMED,empty,ninjaBear,52.712013244628906
TM_CCOEFF_NORMED,empty,ninjaBear,58.53769302368164
TM_CCOEFF_NORMED,empty,ninjaBear,64.18106842041016
TM_CCOEFF_NORMED,empty,ninjaBear,65.78180694580078
TM_CCOEFF_NORMED,empty,ninjaBear,61.86272048950195
TM_CCOEFF_NORMED,empty,ninjaBear,60.46501541137695
TM_CCOEFF_NORMED,empty,ninjaBear,64.61527252197266
TM_CCOEFF_NORMED,empty,ninjaBear,64.61527252197266
TM_CCOEFF_NORMED,empty,bear,73.66919708251953
TM_CCOEFF_NORMED,empty,bear,72.59131622314453
TM_CCOEFF_NORMED,empty,bear,65.27581024169922
TM_CCOEFF_NORMED,empty,bear,72.86895751953125
TM_CCOEFF_NORMED,empty,bear,72.01825714111328
TM_CCOEFF_NORMED,empty,bear,67.06187438964844
TM_CCOEFF_NORMED,empty,bear,66.95205688476562
TM_CCOEFF_NORMED,empty,bear,67.62892150878906
TM_CCOEFF_NORMED,empty,bear,72.86895751953125
TM_CCOEFF_NORMED,empty,bear,71.40161895751953
TM_CCOEFF_NORMED,empty,bear,65.27581024169922
TM_CCOEFF_NORMED,empty,church,62.51077651977539
TM_CCOEFF_NORMED,empty,church,57.09937286376953
TM_CCOEFF_NORMED,empty,church,61.600502014160156
TM_CCOEFF_NORMED,empty,church,57.09937286376953
TM_CCOEFF_NORMED,empty,church,61.600502014160156
TM_CCOEFF_NORMED,empty,church,62.48078155517578
TM_CCOEFF_NORMED,empty,church,61.97782897949219
TM_CCOEFF_NORMED,empty,church,59.66013717651367
TM_CCOEFF_NORMED,empty,church,54.692256927490234
TM_CCOEFF_NORMED,empty,church,62.023658752441406
TM_CCOEFF_NORMED,empty,church,61.871822357177734
TM_CCOEFF_NORMED,empty,church,62.51077651977539
TM_CCOEFF_NORMED,empty,cathedral,64.34324645996094
TM_CCOEFF_NORMED,empty,cathedral,66.25707244873047
TM_CCOEFF_NORMED,empty,cathedral,64.45643615722656
TM_CCOEFF_NORMED,empty,cathedral,64.44567108154297
TM_CCOEFF_NORMED,empty,cathedral,63.981117248535156
TM_CCOEFF_NORMED,empty,cathedral,63.84557342529297
TM_CCOEFF_NORMED,empty,cathedral,63.777671813964844
TM_CCOEFF_NORMED,empty,cathedral,63.735198974609375
TM_CCOEFF_NORMED,empty,rock,67.54021453857422
TM_CCOEFF_NORMED,empty,rock,66.88296508789062
TM_CCOEFF_NORMED,empty,rock,47.12261962890625
TM_CCOEFF_NORMED,empty,rock,46.934913635253906
TM_CCOEFF_NORMED,empty,rock,67.4470443725586
TM_CCOEFF_NORMED,empty,rock,67.4470443725586
TM_CCORR_NORMED,empty,empty,99.42472839355469
TM_CCORR_NORMED,empty,empty,99.13153839111328
TM_CCORR_NORMED,empty,empty,98.59111022949219
TM_CCORR_NORMED,empty,empty,98.40916442871094
TM_CCORR_NORMED,empty,empty,98.89379119873047
TM_CCORR_NORMED,empty,empty,99.19534301757812
TM_CCORR_NORMED,empty,empty,98.32996368408203
TM_CCORR_NORMED,empty,empty,98.0344009399414
TM_CCORR_NORMED,empty,empty,97.27594757080078
TM_CCORR_NORMED,empty,empty,98.42280578613281
TM_CCORR_NORMED,empty,empty,98.90928649902344
